date,TRUMP,CLINTON,KASICH,CRUZ,SANDERS,SCHNEIDER-AMMANN
01.02.16,13,9,2,8,8,2
02.02.16,8,8,0,6,4,4
03.02.16,19,19,4,21,18,4
04.02.16,10,0,0,7,0,21
05.02.16,2,0,0,2,1,9
06.02.16,2,0,0,0,0,8
07.02.16,10,11,1,8,6,5
08.02.16,6,4,3,4,5,8
09.02.16,7,5,4,3,5,5
10.02.16,7,7,2,4,7,5
11.02.16,14,15,10,9,15,2
12.02.16,6,5,1,0,4,5
13.02.16,6,3,0,1,2,4
14.02.16,7,4,0,1,4,9
15.02.16,4,1,0,1,1,3
16.02.16,1,2,0,0,5,3
17.02.16,4,6,0,4,3,1
18.02.16,2,3,0,1,1,7
19.02.16,8,3,1,6,5,13
20.02.16,7,1,2,5,3,2
21.02.16,10,7,0,4,3,12
22.02.16,21,16,9,16,16,2
23.02.16,5,1,0,4,0,8
24.02.16,4,3,0,1,2,7
25.02.16,14,4,3,7,5,5
26.02.16,6,1,0,1,3,14
27.02.16,10,3,2,3,2,6
28.02.16,15,8,0,4,5,12
29.02.16,8,9,0,1,7,9
01.03.16,15,13,2,7,7,7
02.03.16,9,2,0,2,2,7
03.03.16,29,21,5,12,12,4
04.03.16,16,5,0,3,2,5
05.03.16,9,5,4,5,2,10
06.03.16,21,11,1,6,4,7
07.03.16,12,11,2,11,7,1
08.03.16,8,9,0,0,5,8
09.03.16,8,2,0,3,3,4
10.03.16,12,10,4,7,9,12
11.03.16,11,5,0,0,3,8
12.03.16,9,1,3,2,0,11
13.03.16,20,8,3,3,3,16
14.03.16,14,5,7,7,6,2
15.03.16,6,2,2,3,1,8
16.03.16,5,4,1,0,3,9
17.03.16,20,14,11,11,9,10
18.03.16,4,2,0,0,1,2
19.03.16,7,3,0,3,2,5
20.03.16,13,11,2,4,3,6
21.03.16,10,5,0,0,0,1
22.03.16,7,7,1,1,6,1
23.03.16,9,6,1,3,2,10
24.03.16,7,7,2,5,5,1
25.03.16,0,0,0,0,0,0
26.03.16,3,0,0,0,1,3
27.03.16,5,3,0,1,2,4
28.03.16,0,0,0,0,0,0
29.03.16,8,7,1,4,6,1
30.03.16,6,1,1,2,0,2
31.03.16,5,3,0,1,0,0
01.04.16,4,3,1,4,0,1
02.04.16,8,3,0,3,1,8
03.04.16,8,3,0,3,1,8
04.04.16,6,3,0,4,2,2
05.04.16,3,4,0,1,2,3
06.04.16,5,4,0,2,5,5
07.04.16,8,11,3,9,10,8
08.04.16,3,4,0,0,2,11
09.04.16,1,3,0,2,1,7
10.04.16,7,5,0,7,4,6
11.04.16,8,6,0,3,5,6
12.04.16,10,2,1,3,0,6
13.04.16,2,3,0,1,0,2
14.04.16,3,0,0,2,1,2
15.04.16,3,1,0,2,1,4
16.04.16,3,2,0,2,2,4
17.04.16,5,5,0,2,6,5
18.04.16,9,7,5,2,5,2
19.04.16,3,4,2,3,5,2
20.04.16,6,5,1,1,5,1
21.04.16,12,12,7,8,12,6
22.04.16,6,5,2,3,5,6
23.04.16,4,2,1,1,1,2
24.04.16,2,6,0,0,2,6
25.04.16,2,2,0,1,0,9
26.04.16,15,5,8,9,2,3
27.04.16,4,5,2,6,1,3
28.04.16,13,11,9,11,9,6
29.04.16,9,6,1,4,2,2
30.04.16,8,2,2,2,0,4
01.05.16,10,5,2,4,2,13
02.05.16,6,6,0,0,3,3
03.05.16,6,5,1,3,3,12
04.05.16,9,4,0,2,3,1
